globalId,examNumber,questionNumber,question,reference
68,3,20,"Who was the leader of the suffragettes, the group that campaigned for women’s rights to vote?",Emmeline Pankhurst was the leader of the suffragettes.
69,3,21,Cardiff is the capital city of which country?,"The capital cities of the UK nations are: London (England and the UK), Edinburgh (Scotland), Cardiff (Wales) and Belfast (Northern Ireland). The UK Parliament sits in Westminster, London. The Scottish Parliament is in Edinburgh. The Welsh Parliament (Senedd) is in Cardiff. The Northern Ireland Assembly is in Belfast (Stormont)."
70,3,22,During the Great Depression in the 1930s which industry was badly affected?,During the ‘Great Depression’ in the 1930s the traditional heavy industries such as shipbuilding were badly affected.
71,3,23,Who was the first man in the world to run 1 mile in under 4 minutes?,"Sir Roger Bannister was the first man in the world to run a mile in under four minutes, in 1954."
72,3,24,"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?","Eid al-Fitr celebrates the end of Ramadan, when Muslims have fasted for a month."
73,4,1,What was the last battle between Great Britain and France?,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
74,4,2,Which flower is associated with Wales?,"Each country in the UK has a flower symbol, sometimes worn on the national saint's day: England – the rose, Scotland – the thistle, Wales – the daffodil, Northern Ireland – the shamrock."
75,4,3,"During the reign of Charles II parts of London were destroyed, what was the cause of this destruction?","During Charles II’s reign, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral."
76,4,4,How often are general elections held in the UK?,"The UK uses different electoral systems depending on the institution: the UK Parliament (Westminster) uses first past the post — the candidate with the most votes wins each constituency; the Scottish Parliament, Welsh Parliament (Senedd) and Northern Ireland Assembly use proportional representation — seats are allocated more in line with the share of votes. UK general elections are held at least every five years. Scottish Parliament elections are every five years. Welsh Parliament elections are every four years. The UK Parliament sits in Westminster, London; the Scottish Parliament sits in Edinburgh (Holyrood); the Welsh Parliament sits in Cardiff Bay; the Northern Ireland Assembly sits in Belfast (Stormont)."
77,4,5,"Scotland has its own banknotes, which are valid everywhere in the UK.","Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK. However, shops and businesses do not have to accept them."
78,4,6,"What charity works to preserve important buildings, coastline and countryside in the UK?","The National Trust is a charity that works to preserve important buildings, coastline and countryside in the UK."
79,4,7,"Great Britain refers only to England, Wales and Scotland.",This statement is true.
80,4,8,Who was the tribal leader who fought against the Romans?,"One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni in what is now eastern England."
81,4,9,Who was voted the greatest Briton of all time in 2002?,"Winston Churchill remains a much-admired figure to this day, and in 2002 was voted the greatest Briton of all time by the public."
82,4,10,Which two houses form the UK Parliament?,The UK Parliament is formed of the House of Commons and the House of Lords.
83,4,11,When did women get the right to vote at the same age as men?,"In 1928, women were given the right to vote at the age of 21, the same as men."
84,4,12,Who is the head of the Church of England?,The monarch is the head of the Church of England.
85,4,13,What sort of event is the Grand National?,The Grand National is a horse racing event.
86,4,14,What type of literature are the Canterbury Tales?,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. This collection of poems is called The Canterbury Tales.
87,4,15,When is Christmas Day?,Christmas Day is celebrated on the 25th of December.
88,4,16,Who supported King Charles I during the Civil War?,During the civil war between the king and Parliament the country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
89,4,17,What battle is commemorated in the Bayeux Tapestry?,"The Battle of Hastings is commemorated in a great piece of embroidery, known as the Bayeux tapestry."
90,4,18,"Where was Anne Boleyn, the wife of Henry VIII, executed?",Anne Boleyn was unpopular in the country and was accused of taking lovers. She was executed at the Tower of London.
91,4,19,Racial crime and smoking in public places are examples of:,Racial crime and smoking in public places are examples of criminal offences.
92,4,20,What type of character was played by Charlie Chaplin?,Sir Charles (Charlie) Chaplin became famous in silent movies for his tramp character and was one of many British actors to make a career in Hollywood.
93,4,21,You have to be at least 21 years old to stand as MP.,"This statement is false. Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties. These are the Conservative Party, the Labour Party, the Liberal Democrats, or one of the parties representing Scottish, Welsh or Northern Irish interests."
94,4,22,Who developed the radar?,Sir Robert Watson-Watt developed the radar.
95,4,23,Where is the official home of the Prime Minister?,The official home of the Prime Minister is 10 Downing Street.
96,4,24,"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
97,5,1,When does Easter take place?,Easter takes place in March or April.
98,5,2,Which of the following is not a valid UK coin?,There are no 25p coins in the UK currency.
99,5,3,Where is the Eden Project located?,"The Eden Project is located in Cornwall, in the south west of England."
100,5,4,St Helena and the Falkland Islands are part of Great Britain.,"There are also several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not part of it."
101,5,5,Which two of the following are fundamental principles of British life?,"The fundamental principles of British life include: democracy, the rule of law, individual liberty, tolerance of those with different faiths and beliefs and participation in community life."
102,5,6,Where should you register if you want to become part of a jury?,"Jury sizes differ across the UK: in England, Wales and Northern Ireland a jury has 12 members; in Scotland a jury has 15 members. Jurors are randomly selected from the electoral register and must be aged 18 to 70."
103,5,7,What sort of church is the Church of Scotland?,"In Scotland, the national Church is the Church of Scotland, which is a Presbyterian Church."
104,5,8,Where does golf come from?,The modern game of golf can be traced back to 15th century Scotland.
105,5,9,When do the television and newspapers have stories that are jokes until midday?,"On April Fool’s Day, the 1st of April the television and newspapers often have stories that are April Fool jokes."
106,5,10,What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?,The correct answer is Charles II.
107,5,11,Who was the father of Queen Elizabeth I?,The father of Queen Elizabeth I was Henry VIII.
108,5,12,Complaints against the police can only be made by writing to the Police Complaints Commissioner.,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
109,5,13,Who is the patron Saint of Northern Ireland?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
110,5,14,"What is the name of the period when new ideas about politics, philosophy and science were developed?","During the 18th century, new ideas about politics, philosophy and science were developed. This is often called ‘the Enlightenment’."
111,5,15,Which of the following statements is TRUE:,"Mary Stuart (‘Mary, Queen of Scots’) was a Catholic."
112,5,16,Which of the following is an example of civil law?,Discrimination in the workplace is an example of civil law.
113,5,17,In which battle did Admiral Nelson die?,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar and was killed in the battle.
114,5,18,"William of Orange was asked by Protestants to invade England and proclaim himself king. But, when William reached England, there was no resistance and he took over the throne. This event was later Known as:","William of Orange was asked by Protestants to invade England and proclaim himself king. When William reached England, there was no resistance and he took over the throne. This event was later called the ‘Glorious Revolution’."
115,5,19,What sort of charity is ‘Friends of the Earth’?,Friends of the Earth is an environmental charity.
116,5,20,If a husband forces his wife to have sex he can be charged with rape.,This statement is true.
117,5,21,In which country of the British Empire did the Boer War (1899-1902) take place?,The Boer War of 1899 to 1902 took place in South Africa with settlers from the Netherlands called the Boers.
118,5,22,Which of the following actions is known as “canvassing”?,"Members of political parties persuade people to vote for their candidates – for instance, by handing out leaflets in the street or by knocking on people’s doors and asking for their support. This is called ‘canvassing’."
119,5,23,Which novel written by JRR Tolkien was voted the country’s best-loved novel in 2003?,"In 2003, the Lord of the Rings by JRR Tolkien was voted the country’s best-loved novel."
120,5,24,When did Germany invade Poland?,Germany invaded Poland in 1939.
121,6,1,As a British citizen what are your responsibilities (choose two answers)?,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
122,6,2,Who made the first coins to be minted in Britain?,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings. This marks the beginnings of British history."
123,6,3,Who built the Tower of London?,William the Conqueror.
124,6,4,"There are 15 national parks in England, Wales and Scotland. What are national parks?","National Parks are areas of protected countryside that everyone can visit, and where people live, work and look after the landscape."
125,6,5,Northern Ireland has its own established church.,False. There is no established Church in Wales or Northern Ireland.
126,6,6,Which three territories form Great Britain?,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."
127,6,7,How often are ‘Prime Minister’s Questions’ held in the parliament?,Prime Minister’s Questions takes place every week while Parliament is sitting.
128,6,8,Which king was executed in 1649?,The correct answer is Charles I.
129,6,9,Where was William Shakespeare born?,"Shakespeare was born in Stratford-upon-Avon, England."
130,6,10,Which two of the following are famous British Paralympians?,Baroness Tanni Grey-Thompson and Ellie Simmonds are the correct answers.
131,6,11,Who was reigning in England when English settlers first began to colonise the eastern coast of America?,"In Elizabeth I’s time, English settlers first began to colonise the eastern coast of America."
132,6,12,Scotland and Wales use a system called ‘individual registration’ where all those entitled to vote must complete their own registration form.,False. Northern Ireland uses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.
133,6,13,On what day is the birth of Jesus Christ celebrated?,"Christmas Day, 25th of December, celebrates the birth of Jesus Christ."
134,6,14,"What sort of battle was the ‘Battle of Britain’, fought between Germany and Britain in the summer of 1940?",‘The Battle of Britain’ was a crucial aerial battle fought between Germany and Britain in the summer of 1940.
135,6,15,Where is Swansea located?,Swansea it is located in Wales.
136,6,16,Which two political parties formed a coalition in 2010?,"In May 2010 the Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."
137,6,17,Who established the Church of England?,The correct answer is Henry VIII.
138,6,18,"In 1348, one third of the population in England, Wales and Scotland died as a result of which disease?","In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death. One third of the population of England died and a similar proportion in Scotland and Wales."
139,6,19,Haggis is a traditional food from which area?,Haggis is a traditional food from Scotland.
140,6,20,Which court deals with minor criminal offences in Scotland?,"In Scotland, minor criminal offences go to a Justice of the Peace Court. More serious criminal cases are heard in the Sheriff Court, and the most serious cases go to the High Court of Justiciary. In England, Wales and Northern Ireland, minor criminal cases are heard in a Magistrates' Court, while serious cases go to the Crown Court."
141,6,21,Which two of the following records give us information about England during the reign of William I?,The Domesday Book and the Bayeux Tapestry.
142,6,22,"In 1913, the British government promised ‘Home Rule’ for Ireland, why were changes in Ireland delayed until 1921?",The outbreak of the First World War led the British government to postpone any changes in Ireland.
143,6,23,Which of the following statements is true:,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.
144,6,24,Which two documents do you need to apply for a National Insurance number?,Incorrect To apply for a National Insurance number you need documents that prove your identity and that you have permission to work in the UK.
145,7,1,"As a British citizen, you should:",As a British citizen you should respect and obey the law and look after the area in which you live and the environment are the correct answers.
146,7,2,When is Halloween celebrated?,Halloween is celebrated on the 31st of October.
147,7,3,The Bill of Rights in 1689 gave women the right to vote.,"False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
148,7,4,What is the name of the most famous cricket competition played between England and Australia?,"The most famous cricket competition is the Ashes, which is a series of Test matches played between England and Australia."
149,7,5,What was the biggest source of employment during the 18th century?,"During the 18th century, manufacturing jobs became the main source of employment in Britain."
150,7,6,"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the battle of Bannockburn, and Scotland remained unconquered by the English.",This statement is true.
151,7,7,Which of the following is an example of criminal offence?,Smoking in public places. It is against the law to smoke tobacco products in nearly every enclosed public place in the UK. There are signs displayed to tell you where you cannot smoke.
152,7,8,Which Scottish clan was killed for not taking the oath?,The MacDonalds of Glencoe.
153,7,9,Which two issues can the devolved administrations pass laws on?,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as health and education, are controlled by the devolved administrations."
154,7,10,The assassination of the Archduke Franz Ferdinand of Austria in 1914 led to which of the following wars?,"On 28 June 1914, Archduke Franz Ferdinand of Austria was assassinated. This set off a chain of events leading to the First World War (1914-18)."
155,7,11,What is the capital city of Scotland?,"The capital cities of the UK nations are: London (England and the UK), Edinburgh (Scotland), Cardiff (Wales) and Belfast (Northern Ireland). The UK Parliament sits in Westminster, London. The Scottish Parliament is in Edinburgh. The Welsh Parliament (Senedd) is in Cardiff. The Northern Ireland Assembly is in Belfast (Stormont)."
156,7,12,In 1833 the Emancipation Act abolished slavery throughout the British Empire.,This statement is true.
157,7,13,What is the name of the process by which many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle?,A process began which became known as the ‘Highland Clearances’. Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle.
158,7,14,The Falkland Islands are a British overseas territory and are part of the United Kingdom.,The Falkland Islands are a British overseas territory. They are also linked to the UK but are not part of it.
159,7,15,Which two of the following are Civil War Battles?,The Battles of Marston Moor and Naseby.
160,7,16,What was the name of the activist group who fought for the women’s right to vote?,"In the late 19th and early 20th centuries, an increasing number of women campaigned and demonstrated for greater rights and, in particular, the right to vote. They formed the women’s suffrage movement and became known as the ‘suffragettes’."
161,7,17,What UK landmark was voted as Britain’s favourite view in 2007?,"In 2007, television viewers voted Wastwater (Lake District) as Britain’s favourite view."
162,7,18,Who were the first people to live in Britain in what we call the Stone Age?,The first people to live in Britain were hunter-gatherers.
163,7,19,What is the name of the movement against the authority of the Pope and the ideas of the Catholic Church that took place during the reign of Henry VIII?,The correct answer is the Reformation.
164,7,20,What do you need to do to apply for a National Insurance Number?,"If you have permission to work in the UK, you will need to telephone the Department for Work and Pensions (DWP) to arrange to get a National Insurance number."
165,7,21,Which of the following is a major horse-racing event in England?,"Famous horse-racing events include: Royal Ascot , a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr."
166,7,22,How many members form a jury in Scotland?,"Jury sizes differ across the UK: in England, Wales and Northern Ireland a jury has 12 members; in Scotland a jury has 15 members. Jurors are randomly selected from the electoral register and must be aged 18 to 70."
167,7,23,What is known as Lent?,The 40 days before Easter are known as Lent.
168,7,24,When was the last successful foreign invasion of England?,The Norman Conquest was the last successful foreign invasion of England in 1066.
169,8,1,World War II started as a result of Germany invading which country?,The Second World War started when Hitler invaded Poland in 1939. Britain and France declared war in order to stop his aggression.
170,8,2,Which flower is associated with Scotland?,"Each country in the UK has a flower symbol, sometimes worn on the national saint's day: England – the rose, Scotland – the thistle, Wales – the daffodil, Northern Ireland – the shamrock."
171,8,3,Police complaints can only be made by writing to the Chief Constable of the police force involved.,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
172,8,4,Which of the following is a responsibility of the Home Secretary?,"The Home Secretary is responsible for crime, policing and immigration."
173,8,5,When is St David’s day celebrated?,"Each country in the UK has a patron saint and an associated day: St David's Day (1 March, Wales), St Patrick's Day (17 March, Northern Ireland), St George's Day (23 April, England), St Andrew's Day (30 November, Scotland). Only Scotland and Northern Ireland have their patron saint's day as an official public holiday."
174,8,6,"What happened to ‘Mary, Queen of Scots’ after she spent 20 years in prison?","Mary was eventually executed, accused of plotting against Elizabeth I."
175,8,7,What did Francis Crick discover?,Francis Crick discovered the structure of the DNA molecule.
176,8,8,"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK.",This statement is true.
177,8,9,"How many national parks are there in England, Wales and Scotland?","There are 15 national parks in England, Wales and Scotland."
178,8,10,Is Northern Ireland part of Great Britain?,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."
179,8,11,"If you are a dog owner, which two things should your dog’s collar have when you go out for a walk?",All dogs in public places must wear a collar showing the name and address of the owner.
180,8,12,What day relates to the death of Jesus Christ?,Easter takes place in March or April. It marks the death of Jesus Christ on Good Friday and his rising from the dead on Easter Sunday.
181,8,13,A responsibility of the MPs is to represent everyone in their _______.,A responsibility of the MPs is to represent everyone in their constituency.
182,8,14,What was achieved with the Magna Carta?,"The Magna Carta established the idea that even the king was subject to the law. It protected the rights of the nobility and restricted the king’s power to collect taxes or to make and change laws. In future, the king would need to involve his noblemen in decisions."
183,8,15,Female genital mutilation (FGM) or taking a girl or woman abroad for FGM is illegal in the UK and it is a criminal offence.,This statement is true.
184,8,16,What year were women given the right to vote?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
185,8,17,Which two of the following are British overseas territories?,"There are several British overseas territories, such as St Helena and the Falkland Islands. They are linked to the UK but are not part of it."
186,8,18,Who did the English defeat in 1588?,In 1588 the English defeated the Spanish Armada (a large fleet of ships).
187,8,19,Who designed the Cenotaph?,"Sir Edwin Lutyens was responsible for designing many war memorials throughout the world, including the Cenotaph in Whitehall."
188,8,20,How often are the members of the Welsh government elected?,"The devolved parliaments and assemblies across the UK differ in size and election method: the Scottish Parliament has 129 MSPs, elected by proportional representation, with elections every five years; the Welsh Parliament (Senedd) has 60 MSs, elected by proportional representation, with elections every four years; the Northern Ireland Assembly has 90 MLAs, elected by proportional representation. The UK Parliament (Westminster) has 650 MPs, elected by first past the post, with general elections held at least every five years."
